STATIONS_ID;MESS_DATUM;  QN;FF_10;DD_10;eor
       1420;202310020000;    3;   1.2;  60;eor
       1420;202310020010;    3;   0.8;  90;eor
       1420;202310020020;    3;   0.9;  60;eor
       1420;202310020030;    3;   1.8;  40;eor
       1420;202310020040;    3;   1.8;  50;eor
       1420;202310020050;    3;   1.5;  60;eor
       1420;202310020100;    3;   1.3;  70;eor
       1420;202310020110;    3;   1.1;  60;eor
       1420;202310020120;    3;   1.0;  60;eor
       1420;202310020130;    3;   0.9;  80;eor
       1420;202310020140;    3;   0.9; 100;eor
       1420;202310020150;    3;   0.8;  90;eor
       1420;202310020200;    3;   0.9;  50;eor
       1420;202310020210;    3;   0.7;  60;eor
       1420;202310020220;    3;   0.6;  70;eor
       1420;202310020230;    3;   1.1;  50;eor
       1420;202310020240;    3;   1.4;  60;eor
       1420;202310020250;    3;   0.9;  80;eor
       1420;202310020300;    3;   0.5;  90;eor
       1420;202310020310;    3;   0.3; 230;eor
       1420;202310020320;    3;   0.5; 100;eor
       1420;202310020330;    3;   0.9; 140;eor
       1420;202310020340;    3;   0.9; 140;eor
       1420;202310020350;    3;   0.5; 130;eor
       1420;202310020400;    3;   0.5; 120;eor
       1420;202310020410;    3;   0.9; 100;eor
       1420;202310020420;    3;   1.3;  40;eor
       1420;202310020430;    3;   0.9;  60;eor
       1420;202310020440;    3;   1.1;  40;eor
       1420;202310020450;    3;   0.9;  50;eor
       1420;202310020500;    3;   0.7;  80;eor
       1420;202310020510;    3;   0.8;  90;eor
       1420;202310020520;    3;   0.9; 120;eor
       1420;202310020530;    3;   0.8; 140;eor
       1420;202310020540;    3;   1.2; 140;eor
       1420;202310020550;    3;   1.1; 130;eor
       1420;202310020600;    3;   0.6;  80;eor
       1420;202310020610;    3;   0.5;  70;eor
       1420;202310020620;    3;   0.4; 180;eor
       1420;202310020630;    3;   0.4; 110;eor
       1420;202310020640;    3;   0.3;  50;eor
       1420;202310020650;    3;   0.2; 330;eor
       1420;202310020700;    3;   0.5; 210;eor
       1420;202310020710;    3;   1.1; 160;eor
       1420;202310020720;    3;   1.4; 170;eor
       1420;202310020730;    3;   1.4; 180;eor
       1420;202310020740;    3;   1.1; 190;eor
       1420;202310020750;    3;   0.9; 210;eor
       1420;202310020800;    3;   0.7; 250;eor
       1420;202310020810;    3;   0.7; 240;eor
       1420;202310020820;    3;   1.3; 250;eor
       1420;202310020830;    3;   1.7; 240;eor
       1420;202310020840;    3;   2.1; 240;eor
       1420;202310020850;    3;   1.8; 230;eor
       1420;202310020900;    3;   1.8; 230;eor
       1420;202310020910;    3;   1.5; 210;eor
