STATIONS_ID;MESS_DATUM;  QN;FF_10;DD_10;eor
       1420;202503230000;    2;   2.8;  40;eor
       1420;202503230010;    2;   2.9;  30;eor
       1420;202503230020;    2;   2.4;  30;eor
       1420;202503230030;    2;   0.9;  60;eor
       1420;202503230040;    2;   1.2;  90;eor
       1420;202503230050;    2;   3.4;  50;eor
       1420;202503230100;    2;   1.0;  20;eor
       1420;202503230110;    2;   1.7; 360;eor
       1420;202503230120;    2;   1.2;  30;eor
       1420;202503230130;    2;   1.5;  30;eor
       1420;202503230140;    2;   1.8;  40;eor
       1420;202503230150;    2;   1.8;  30;eor
       1420;202503230200;    2;   1.9;  30;eor
       1420;202503230210;    2;   1.9;  30;eor
       1420;202503230220;    2;   2.1; 340;eor
       1420;202503230230;    2;   3.9; 320;eor
       1420;202503230240;    2;   2.8; 350;eor
       1420;202503230250;    2;   2.4;  40;eor
       1420;202503230300;    2;   1.5;  20;eor
       1420;202503230310;    2;   1.5;  50;eor
       1420;202503230320;    2;   2.2;  80;eor
       1420;202503230330;    2;   1.6;  70;eor
       1420;202503230340;    2;   1.1;  50;eor
       1420;202503230350;    2;   2.1;  70;eor
       1420;202503230400;    2;   2.3;  70;eor
       1420;202503230410;    2;   2.4;  60;eor
       1420;202503230420;    2;   1.8;  80;eor
       1420;202503230430;    2;   1.8;  80;eor
       1420;202503230440;    2;   2.6;  60;eor
       1420;202503230450;    2;   3.3;  50;eor
       1420;202503230500;    2;   3.1;  60;eor
       1420;202503230510;    2;   2.9;  50;eor
       1420;202503230520;    2;   2.9;  50;eor
       1420;202503230530;    2;   3.3;  50;eor
       1420;202503230540;    2;   3.3;  50;eor
       1420;202503230550;    2;   3.5;  50;eor
       1420;202503230600;    2;   3.5;  50;eor
       1420;202503230610;    2;   3.2;  40;eor
       1420;202503230620;    2;   3.6;  40;eor
       1420;202503230630;    2;   4.0;  40;eor
       1420;202503230640;    2;   3.6;  40;eor
       1420;202503230650;    2;   3.3;  40;eor
       1420;202503230700;    2;   3.2;  40;eor
       1420;202503230710;    2;   3.1;  40;eor
       1420;202503230720;    2;   3.0;  40;eor
       1420;202503230730;    2;   3.1;  40;eor
       1420;202503230740;    2;   3.3;  40;eor
       1420;202503230750;    2;   2.9;  40;eor
       1420;202503230800;    2;   2.3;  50;eor
       1420;202503230810;    2;   2.3;  40;eor
       1420;202503230820;    2;   2.3;  60;eor
       1420;202503230830;    2;   2.6;  80;eor
       1420;202503230840;    2;   3.4;  70;eor
       1420;202503230850;    2;   3.4;  60;eor
       1420;202503230900;    2;   2.6;  70;eor
       1420;202503230910;    2;   1.8;  80;eor
       1420;202503230920;    2;   1.5; 120;eor
       1420;202503230930;    2;   2.6; 250;eor
       1420;202503230940;    2;   4.4; 240;eor
       1420;202503230950;    2;   4.4; 240;eor
       1420;202503231000;    2;   3.9; 230;eor
       1420;202503231010;    2;   3.7; 230;eor
       1420;202503231020;    2;   3.2; 240;eor
       1420;202503231030;    2;   3.1; 240;eor
       1420;202503231040;    2;   2.4; 250;eor
       1420;202503231050;    2;   2.8; 250;eor
       1420;202503231100;    2;   3.1; 230;eor
       1420;202503231110;    2;   2.6; 250;eor
       1420;202503231120;    2;   2.6; 260;eor
       1420;202503231130;    2;   2.5; 250;eor
       1420;202503231140;    2;   2.7; 240;eor
       1420;202503231150;    2;   2.9; 270;eor
       1420;202503231200;    2;   2.7; 250;eor
       1420;202503231210;    2;   3.0; 270;eor
       1420;202503231220;    2;   2.7; 270;eor
       1420;202503231230;    2;   2.0; 300;eor
       1420;202503231240;    2;   2.0; 320;eor
       1420;202503231250;    2;   1.2; 300;eor
       1420;202503231300;    2;   2.7; 280;eor
       1420;202503231310;    2;   1.6; 230;eor
       1420;202503231320;    2;   2.3; 240;eor
       1420;202503231330;    2;   2.9; 230;eor
       1420;202503231340;    2;   2.8; 240;eor
       1420;202503231350;    2;   2.9; 250;eor
       1420;202503231400;    2;   3.3; 230;eor
       1420;202503231410;    2;   2.9; 230;eor
       1420;202503231420;    2;   3.2; 210;eor
       1420;202503231430;    2;   2.2; 230;eor
       1420;202503231440;    2;   2.3; 210;eor
       1420;202503231450;    2;   2.8; 230;eor
       1420;202503231500;    2;   2.2; 240;eor
       1420;202503231510;    2;   3.5; 230;eor
       1420;202503231520;    2;   6.0; 240;eor
       1420;202503231530;    2;   5.5; 230;eor
       1420;202503231540;    2;   5.7; 230;eor
       1420;202503231550;    2;   5.0; 230;eor
       1420;202503231600;    2;   4.0; 230;eor
       1420;202503231610;    2;   3.2; 230;eor
       1420;202503231620;    2;   3.4; 240;eor
       1420;202503231630;    2;   3.7; 230;eor
       1420;202503231640;    2;   3.2; 230;eor
       1420;202503231650;    2;   2.8; 230;eor
       1420;202503231700;    2;   2.5; 240;eor
       1420;202503231710;    2;   2.2; 270;eor
       1420;202503231720;    2;   3.6; 310;eor
       1420;202503231730;    2;   3.7; 340;eor
       1420;202503231740;    2;   3.3;  10;eor
       1420;202503231750;    2;   3.1;  20;eor
       1420;202503231800;    2;   3.5;  30;eor
       1420;202503231810;    2;   3.3;  40;eor
       1420;202503231820;    2;   3.0;  50;eor
       1420;202503231830;    2;   2.8;  40;eor
       1420;202503231840;    2;   2.9;  40;eor
       1420;202503231850;    2;   2.3;  10;eor
       1420;202503231900;    2;   2.2; 300;eor
       1420;202503231910;    2;   2.8; 340;eor
       1420;202503231920;    2;   3.4;  10;eor
