STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       7341;202503230000;    2;  987.7;  10.1;   7.8;  75.3;   5.9;eor
       7341;202503230010;    2;  987.6;  10.1;   7.6;  77.0;   6.3;eor
       7341;202503230020;    2;  987.6;   9.8;   7.6;  77.5;   6.1;eor
       7341;202503230030;    2;  987.6;   9.9;   7.5;  75.1;   5.7;eor
       7341;202503230040;    2;  987.6;  10.2;   7.3;  76.0;   6.2;eor
       7341;202503230050;    2;  987.7;   9.6;   7.8;  80.1;   6.3;eor
       7341;202503230100;    2;  987.9;   9.6;   8.0;  82.0;   6.7;eor
       7341;202503230110;    2;  987.7;  10.1;   8.7;  78.8;   6.6;eor
       7341;202503230120;    2;  987.4;  11.0;   8.5;  74.4;   6.6;eor
       7341;202503230130;    2;  987.3;  10.0;   8.6;  83.3;   7.3;eor
       7341;202503230140;    2;  987.4;   9.3;   8.4;  92.5;   8.2;eor
       7341;202503230150;    2;  987.3;  10.5;   8.6;  77.5;   6.7;eor
       7341;202503230200;    2;  987.3;   9.9;   8.5;  84.3;   7.4;eor
       7341;202503230210;    2;  987.1;  10.3;   8.4;  80.3;   7.1;eor
       7341;202503230220;    2;  987.3;  10.7;   8.7;  77.1;   6.9;eor
       7341;202503230230;    2;  987.6;  10.4;   8.4;  78.5;   6.8;eor
       7341;202503230240;    2;  987.7;  10.9;   8.7;  77.0;   7.0;eor
       7341;202503230250;    2;  987.8;  10.3;   8.4;  80.3;   7.1;eor
       7341;202503230300;    2;  987.8;  10.5;   8.3;  77.6;   6.8;eor
       7341;202503230310;    2;  987.7;  10.3;   7.7;  76.7;   6.4;eor
       7341;202503230320;    2;  987.7;  10.4;   7.4;  75.2;   6.2;eor
       7341;202503230330;    2;  987.9;  10.5;   7.4;  72.2;   5.7;eor
       7341;202503230340;    2;  987.8;  10.7;   7.6;  69.9;   5.4;eor
       7341;202503230350;    2;  987.8;  10.8;   8.1;  68.1;   5.2;eor
       7341;202503230400;    2;  987.9;  10.4;   7.9;  70.0;   5.2;eor
       7341;202503230410;    2;  987.9;  10.3;   7.9;  69.2;   4.9;eor
       7341;202503230420;    2;  987.9;  10.1;   7.9;  69.9;   4.9;eor
       7341;202503230430;    2;  988.0;   9.9;   7.6;  71.5;   5.0;eor
       7341;202503230440;    2;  988.1;   9.7;   8.2;  71.9;   4.9;eor
       7341;202503230450;    2;  988.1;   9.5;   8.1;  72.9;   4.9;eor
       7341;202503230500;    2;  988.2;   9.4;   7.9;  74.1;   5.0;eor
       7341;202503230510;    2;  988.2;   9.4;   7.9;  73.9;   5.0;eor
       7341;202503230520;    2;  988.3;   9.2;   7.8;  75.3;   5.1;eor
       7341;202503230530;    2;  988.3;   9.1;   7.6;  75.5;   5.0;eor
       7341;202503230540;    2;  988.4;   9.0;   7.9;  76.3;   5.1;eor
       7341;202503230550;    2;  988.5;   8.9;   7.9;  76.9;   5.1;eor
       7341;202503230600;    2;  988.7;   8.9;   7.9;  77.8;   5.2;eor
       7341;202503230610;    2;  988.8;   9.2;   8.4;  76.2;   5.2;eor
       7341;202503230620;    2;  988.8;   9.3;   9.0;  76.4;   5.4;eor
       7341;202503230630;    2;  989.0;   9.4;   9.4;  76.0;   5.4;eor
       7341;202503230640;    2;  989.1;   9.6;   9.7;  75.7;   5.5;eor
       7341;202503230650;    2;  989.2;   9.8;  10.0;  75.7;   5.7;eor
       7341;202503230700;    2;  989.3;  10.0;  10.3;  74.2;   5.6;eor
       7341;202503230710;    2;  989.5;  10.2;  10.4;  74.6;   5.9;eor
       7341;202503230720;    2;  989.5;  10.2;  10.6;  73.3;   5.6;eor
       7341;202503230730;    2;  989.6;  10.3;  10.7;  73.6;   5.8;eor
       7341;202503230740;    2;  989.8;  10.4;  10.7;  73.1;   5.8;eor
       7341;202503230750;    2;  989.9;  10.5;  10.4;  74.0;   6.1;eor
       7341;202503230800;    2;  989.9;  10.9;  10.7;  73.3;   6.3;eor
       7341;202503230810;    2;  990.0;  11.0;  11.3;  72.5;   6.3;eor
       7341;202503230820;    2;  990.2;  11.1;  11.5;  70.9;   6.0;eor
       7341;202503230830;    2;  990.2;  11.3;  11.8;  71.3;   6.3;eor
       7341;202503230840;    2;  990.3;  11.3;  10.8;  72.8;   6.6;eor
       7341;202503230850;    2;  990.3;  11.6;  10.7;  74.4;   7.2;eor
       7341;202503230900;    2;  990.4;  11.6;  10.8;  71.9;   6.7;eor
       7341;202503230910;    2;  990.4;  11.7;  11.8;  70.1;   6.4;eor
       7341;202503230920;    2;  990.5;  11.7;  11.8;  70.3;   6.5;eor
       7341;202503230930;    2;  990.5;  11.8;  11.8;  69.7;   6.4;eor
       7341;202503230940;    2;  990.6;  11.7;  11.7;  73.4;   7.1;eor
       7341;202503230950;    2;  990.5;  11.4;  11.6;  73.3;   6.8;eor
       7341;202503231000;    2;  990.4;  11.6;  12.2;  71.9;   6.7;eor
