STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       7431;202502190000;    3;   -999; -10.4; -17.7;  91.6; -11.5;eor
       7431;202502190010;    3;   -999; -10.1; -16.7;  91.9; -11.2;eor
       7431;202502190020;    3;   -999; -11.6; -18.0;  90.5; -12.8;eor
       7431;202502190030;    3;   -999; -11.2; -18.2;  93.4; -12.1;eor
       7431;202502190040;    3;   -999; -10.8; -16.6;  92.9; -11.7;eor
       7431;202502190050;    3;   -999; -11.3; -18.2;  92.8; -12.2;eor
       7431;202502190100;    3;   -999; -11.2; -17.4;  93.8; -12.0;eor
       7431;202502190110;    3;   -999; -11.3; -17.9;  93.6; -12.1;eor
       7431;202502190120;    3;   -999; -10.9; -17.8;  93.3; -11.8;eor
       7431;202502190130;    3;   -999; -10.6; -17.5;  90.7; -11.8;eor
       7431;202502190140;    3;   -999; -11.4; -17.8;  91.4; -12.5;eor
       7431;202502190150;    3;   -999; -11.7; -17.6;  91.7; -12.8;eor
       7431;202502190200;    3;   -999; -11.7; -16.7;  91.8; -12.8;eor
       7431;202502190210;    3;   -999; -11.7; -18.4;  92.6; -12.7;eor
       7431;202502190220;    3;   -999; -11.3; -17.3;  92.2; -12.3;eor
       7431;202502190230;    3;   -999; -11.4; -17.5;  92.8; -12.3;eor
       7431;202502190240;    3;   -999; -11.1; -17.7;  91.9; -12.2;eor
       7431;202502190250;    3;   -999; -11.2; -17.4;  93.1; -12.1;eor
       7431;202502190300;    3;   -999; -11.3; -18.6;  93.4; -12.2;eor
       7431;202502190310;    3;   -999; -11.8; -16.6;  90.7; -13.0;eor
       7431;202502190320;    3;   -999; -12.2; -16.3;  91.5; -13.3;eor
       7431;202502190330;    3;   -999; -12.7; -17.5;  91.3; -13.8;eor
       7431;202502190340;    3;   -999; -12.5; -18.0;  92.9; -13.4;eor
       7431;202502190350;    3;   -999; -11.9; -16.5;  93.5; -12.7;eor
       7431;202502190400;    3;   -999; -13.8; -16.2;  91.1; -14.9;eor
       7431;202502190410;    3;   -999; -13.0; -17.7;  91.8; -14.1;eor
       7431;202502190420;    3;   -999; -12.0; -16.8;  92.1; -13.0;eor
       7431;202502190430;    3;   -999; -12.6; -16.8;  91.7; -13.7;eor
       7431;202502190440;    3;   -999; -12.0; -17.1;  91.8; -13.1;eor
       7431;202502190450;    3;   -999; -12.1; -15.7;  90.8; -13.3;eor
       7431;202502190500;    3;   -999; -12.5; -16.3;  91.4; -13.6;eor
       7431;202502190510;    3;   -999; -13.3; -16.4;  89.9; -14.6;eor
       7431;202502190520;    3;   -999; -12.6; -16.5;  91.0; -13.8;eor
       7431;202502190530;    3;   -999; -12.4; -16.9;  91.7; -13.5;eor
